ID,Nombre Producto,Cantidad,Precio,Codigo de barras propio,Categoria
7709938885934,Mintrel Force X3ML,1,7500,1,Medicamentos
7702123000945,Neguvon Polvo X15GM,2,3500,1,Medicamentos
7703381240029,"Nexgard 10,1-25",1,55000,1,Medicamentos
7703381240050,"Nexgard 25,1- 50",1,67000,1,Medicamentos
7703381244546,"Nexgard 4,1--10",1,48000,1,Medicamentos
1000187,"Nexgard Spectra 15,1-30",0,0,0,Medicamentos
7703381243488,"Nexgard Spectra 3,5-7,5",1,46000,1,Medicamentos
7703381243518,Nexgard Spectra 30-60,0,70000,1,Medicamentos
7703381243495,"Nexgard Spectra 7,5- 15",1,53000,1,Medicamentos
7707232099163,No Muerda X240ML,1,15000,1,Medicamentos
7707005200024,Nutripez en Hojuelas X20gm,1,4200,1,Comida otras mascotas
1000193,Optimum Comida Humeda Gato Adulto Pollo,0,4200,0,Comida Humeda
7896029018231,Optimum Comida Humeda Gato Castrado Pollo,1,4200,1,Comida Humeda
7896029017906,Optimum Comida Humeda Perro Adulto Pollo,0,4200,1,Comida Humeda
1000197,Pala Cara de Gato,2,5000,0,Accesorios
1000198,Pala popo de gato,8,4500,0,Accesorios
7708304364752,BASIC DIN Toallitas Húmedas con clorexidina X35,1,15000,1,Aseo
7702026183868,Pañitos Petys CON TAPA x50,6,12700,1,Aseo
1000200,Pañitos Petys CON TAPA x80,0,14500,0,Aseo
1000201,Pañitos Petys SIN TAPA x50,0,8500,0,Aseo
7702026183141,Pañitos Petys x10,10,3000,1,Aseo
